MAHS,Toan,Van,NgoaiNgu
53012582,8,6,4.4
53005349,7.6,7.25,5
53012876,8.2,6.25,6
53008288,7.4,7.25,4.4
53007859,8.6,6.25,5.2
53004672,5.6,6.75,3.4
53008250,4.8,7,2.8
53010744,6.4,5.25,2.6
53001864,5.6,7.75,4.2
53007048,7.8,8.5,6.8
53005680,8.2,6.5,8.2
53012843,8.6,7.25,8.2
53007222,7.8,7.25,7.2
53008538,9,7.25,7.6
53004008,7.6,7.25,4.4
53000001,7.8,7,5.8
53001895,7.2,7.25,4.6
53003518,9,7,7.8
53006491,8.8,7.25,6.2
53004081,7.6,7.25,6.8
53012887,5.6,7.5,4
53000425,6.6,6.5,3.8
53010215,7,7.75,4.8
53004717,8,7.25,3
53009131,7.8,4.75,7.4
53007714,8.2,5.75,7
53002334,3.6,5.25,3.4
53008157,6.4,6,5.8
53010766,7.4,6.5,3.6
53007729,9.2,8,7.4
53000892,8.6,7.25,5.2
53009389,9,5.25,4.8
53000976,7.4,7,4.6
53008008,5.6,5.75,6.6
53004553,7.2,7.25,4
53007641,6.2,7.25,6.2
53011070,7.8,8.5,6
53014066,6.8,5.75,2.6
53002119,7.8,7.5,4.8
53001224,7,7.75,4.4
53005556,8.4,7.75,3.8
53012821,7,6.25,4.8
53004859,5,7.75,3.8
53011463,7.6,8.25,5.2
53000559,8,7.75,6.4
53003425,5.6,5.5,4.6
53011077,8,7.25,4.6
53009906,6.4,7.25,5.6
53008468,9.2,7.75,7.6
53002234,7,6.25,4.4
53009544,7.8,8,5.6
53006274,9.2,7.75,4.8
53004317,7.8,7.25,5
53011296,9.2,7.25,8.4
53001241,7.2,7,5.6
53011323,7.6,8,6.2
53012000,7,7.25,4.2
53011033,8.4,6,3.2
53007584,9,6.75,4.6
53009092,7.8,8,3.8
53012218,6.8,8,4.6
53007565,8.6,6.5,4.6
53012087,5,6.75,5.4
53002215,8.6,7,4
53010985,8,7,5
53004861,7.6,7.5,4.6
53006872,8,6,4
53004176,6.4,7.75,5
53013106,5.4,6.75,4
53014061,8.4,8,7.6
53001317,4.6,5,5.4
53005976,8.2,6.5,6.8
53000624,8,7.75,5.6
53002688,8.8,7.5,6.8
53000392,8.8,6.75,6.4
53007295,8.4,8.5,6.4
53013994,7.8,7,5.4
53009396,8.8,7.5,6.4
53000802,7.8,8,4.2
53009066,7.4,7.25,3.6
53004202,5,6.75,3.2
53008841,10,7,7.4
53001400,7.4,6.5,3.6
53014085,7.4,7,6
53001774,4.6,5.25,3.2
53011203,6.4,6.25,2
53013200,6.6,6.25,4.2
53002474,6.6,5,5.4
53002681,7.6,6.5,5
53003033,6,6.5,3.2
53010010,7.8,7.5,4.6
53002973,5.6,7.75,4.2
53004449,7.8,7,5.6
53011763,7.6,6.25,5.2
53002611,6.6,5.75,2
53012852,7,7.75,5.2
53009975,6.8,7,3.4
53012472,7.4,7.08,4.6
53014010,8.2,8,7.4
53002316,7.2,6,3.4
53003447,7.4,7.25,4.4
53005610,7,5.75,2.2
53003514,8.8,7,6.8
53002955,8.2,8,6.4
53005193,4,5.5,3
53002302,7.4,6.25,2.4
53001495,6.8,8.25,3.6
53011100,5.6,6.5,3.2
53000592,7.6,7.25,5.4
53002532,5.6,6.25,3
53007586,8.6,7.5,6.6
53006176,8.6,7.25,4
53011444,5.8,6.75,3.8
53009316,6,6.5,4
53006499,7.2,6.25,5.6
53005360,7,6,2.2
53009777,8.4,7.5,6.2
53010875,8,6.75,6.2
53002894,8.2,8.75,4.4
53003519,7.6,6.5,4.4
53006174,9,7.75,4.8
53012356,7.2,6.75,3.8
53001301,8.6,8,7.4
53010864,8.6,7,5.6
53000546,6.2,8.25,4.2
53005159,8,6.5,2.4
53007235,7.2,7.5,7.4
53007444,9.4,8.25,8.2
53012130,7.2,6,2.8
53003095,7.8,8,5.6
53004380,8.2,7.5,3.8
53003350,7.6,8.25,6.4
53004111,6.2,7.25,4.8
53005435,6.2,6.75,4.6
53012268,7.6,6.5,5.2
53005281,5.4,7.75,5.2
53000241,6.8,9,4.6
53006023,4.2,7,1.8
53000213,6.8,7.75,4
53002589,6.4,7.75,3.6
53003329,8.6,6.5,6.8
53012081,7.8,6.25,4.4
53010699,8.6,7,5
53009204,7.4,6.25,3.2
53005666,8.4,7.25,7.6
53006211,8,6.25,5.6
53009208,6.4,5,4.4
53001588,9,7.25,5
53005441,6.4,6.25,1.4
53002967,6.2,6.75,3.4
53005028,6.6,5.5,3.4
53001053,7.8,5.5,5
53000190,7.8,6,5.4
53013257,9.2,7.75,4.8
53002467,6.2,6.5,2.6
53011508,7.6,7.25,5.2
53012874,9,7.75,5.8
53004024,8.8,8.25,6.4
53005395,8.2,7,5
53012672,7.2,6.83,4.6
53006756,5.8,5.25,2.8
53011623,7.2,7.5,5.8
53007559,8.2,7.5,5.6
53013325,8.2,6.75,4.6
53005842,6.6,6.5,4.2
53005118,5.6,7,1.8
53003860,6.6,8.5,6
